Crop,Growth_Stage,Ideal_Nitrogen,Ideal_Phosphorus,Ideal_Potassium,Ideal_pH,Source
orchid,Basal / Sowing,17.5,30.0,15.0,6.8,ICAR Directorate of Medicinal & Aromatic Plants
orchid,Vegetative / Active Growth,25.0,6.0,10.0,6.8,ICAR Directorate of Medicinal & Aromatic Plants
orchid,Flowering & Fruiting,10.0,15.0,25.0,6.8,ICAR Directorate of Medicinal & Aromatic Plants
palmarosa,Basal / Sowing,28.0,40.0,24.0,6.5,ICAR General Agronomy Standard
palmarosa,Vegetative / Active Growth,40.0,8.0,16.0,6.5,ICAR General Agronomy Standard
palmarosa,Flowering & Fruiting,16.0,20.0,40.0,6.5,ICAR General Agronomy Standard
papaya,Basal / Sowing,42.0,40.0,48.0,6.5,ICAR National Research Centre for Fruit Crops
papaya,Vegetative / Active Growth,60.0,8.0,32.0,6.5,ICAR National Research Centre for Fruit Crops
papaya,Flowering & Fruiting,24.0,20.0,80.0,6.5,ICAR National Research Centre for Fruit Crops
parsley,Basal / Sowing,28.0,40.0,24.0,6.5,ICAR General Agronomy Standard
parsley,Vegetative / Active Growth,40.0,8.0,16.0,6.5,ICAR General Agronomy Standard
parsley,Flowering & Fruiting,16.0,20.0,40.0,6.5,ICAR General Agronomy Standard
parsnip,Basal / Sowing,28.0,40.0,24.0,6.5,ICAR General Agronomy Standard
parsnip,Vegetative / Active Growth,40.0,8.0,16.0,6.5,ICAR General Agronomy Standard
parsnip,Flowering & Fruiting,16.0,20.0,40.0,6.5,ICAR General Agronomy Standard
passion fruit,Basal / Sowing,28.0,40.0,24.0,6.5,ICAR General Agronomy Standard
passion fruit,Vegetative / Active Growth,40.0,8.0,16.0,6.5,ICAR General Agronomy Standard
passion fruit,Flowering & Fruiting,16.0,20.0,40.0,6.5,ICAR General Agronomy Standard
peach,Basal / Sowing,14.0,50.0,12.0,6.8,ICAR Indian Institute of Pulses Research
peach,Vegetative / Active Growth,20.0,10.0,8.0,6.8,ICAR Indian Institute of Pulses Research
peach,Flowering & Fruiting,8.0,25.0,20.0,6.8,ICAR Indian Institute of Pulses Research
pear,Basal / Sowing,14.0,50.0,12.0,6.8,ICAR Indian Institute of Pulses Research
pear,Vegetative / Active Growth,20.0,10.0,8.0,6.8,ICAR Indian Institute of Pulses Research
pear,Flowering & Fruiting,8.0,25.0,20.0,6.8,ICAR Indian Institute of Pulses Research
pearl millet (bajra),Basal / Sowing,28.0,50.0,18.0,6.5,ICAR Cereals & Millets Directorate
pearl millet (bajra),Vegetative / Active Growth,40.0,10.0,12.0,6.5,ICAR Cereals & Millets Directorate
pearl millet (bajra),Flowering & Fruiting,16.0,25.0,30.0,6.5,ICAR Cereals & Millets Directorate
peas,Basal / Sowing,14.0,50.0,12.0,6.8,ICAR Indian Institute of Pulses Research
peas,Vegetative / Active Growth,20.0,10.0,8.0,6.8,ICAR Indian Institute of Pulses Research
peas,Flowering & Fruiting,8.0,25.0,20.0,6.8,ICAR Indian Institute of Pulses Research
pecan nut,Basal / Sowing,28.0,40.0,24.0,6.5,ICAR General Agronomy Standard
pecan nut,Vegetative / Active Growth,40.0,8.0,16.0,6.5,ICAR General Agronomy Standard
pecan nut,Flowering & Fruiting,16.0,20.0,40.0,6.5,ICAR General Agronomy Standard
persimmon,Basal / Sowing,28.0,40.0,24.0,6.5,ICAR General Agronomy Standard
persimmon,Vegetative / Active Growth,40.0,8.0,16.0,6.5,ICAR General Agronomy Standard
persimmon,Flowering & Fruiting,16.0,20.0,40.0,6.5,ICAR General Agronomy Standard
phalsa,Basal / Sowing,28.0,40.0,24.0,6.5,ICAR General Agronomy Standard
phalsa,Vegetative / Active Growth,40.0,8.0,16.0,6.5,ICAR General Agronomy Standard
phalsa,Flowering & Fruiting,16.0,20.0,40.0,6.5,ICAR General Agronomy Standard
pigeonpeas,Basal / Sowing,14.0,50.0,12.0,6.8,ICAR Indian Institute of Pulses Research
pigeonpeas,Vegetative / Active Growth,20.0,10.0,8.0,6.8,ICAR Indian Institute of Pulses Research
pigeonpeas,Flowering & Fruiting,8.0,25.0,20.0,6.8,ICAR Indian Institute of Pulses Research
pineapple,Basal / Sowing,42.0,40.0,48.0,6.5,ICAR National Research Centre for Fruit Crops
pineapple,Vegetative / Active Growth,60.0,8.0,32.0,6.5,ICAR National Research Centre for Fruit Crops
pineapple,Flowering & Fruiting,24.0,20.0,80.0,6.5,ICAR National Research Centre for Fruit Crops
pistachio,Basal / Sowing,28.0,40.0,24.0,6.5,ICAR General Agronomy Standard
pistachio,Vegetative / Active Growth,40.0,8.0,16.0,6.5,ICAR General Agronomy Standard
pistachio,Flowering & Fruiting,16.0,20.0,40.0,6.5,ICAR General Agronomy Standard
plum,Basal / Sowing,42.0,40.0,48.0,6.5,ICAR National Research Centre for Fruit Crops
plum,Vegetative / Active Growth,60.0,8.0,32.0,6.5,ICAR National Research Centre for Fruit Crops
plum,Flowering & Fruiting,24.0,20.0,80.0,6.5,ICAR National Research Centre for Fruit Crops
pointed gourd (parwal),Basal / Sowing,31.5,60.0,30.0,6.5,ICAR Indian Institute of Horticultural Research
pointed gourd (parwal),Vegetative / Active Growth,45.0,12.0,20.0,6.5,ICAR Indian Institute of Horticultural Research
pointed gourd (parwal),Flowering & Fruiting,18.0,30.0,50.0,6.5,ICAR Indian Institute of Horticultural Research
pomegranate,Basal / Sowing,42.0,40.0,48.0,6.5,ICAR National Research Centre for Fruit Crops
pomegranate,Vegetative / Active Growth,60.0,8.0,32.0,6.5,ICAR National Research Centre for Fruit Crops
pomegranate,Flowering & Fruiting,24.0,20.0,80.0,6.5,ICAR National Research Centre for Fruit Crops
pomelo,Basal / Sowing,28.0,40.0,24.0,6.5,ICAR General Agronomy Standard
pomelo,Vegetative / Active Growth,40.0,8.0,16.0,6.5,ICAR General Agronomy Standard
pomelo,Flowering & Fruiting,16.0,20.0,40.0,6.5,ICAR General Agronomy Standard
proso millet,Basal / Sowing,28.0,50.0,18.0,6.5,ICAR Cereals & Millets Directorate
proso millet,Vegetative / Active Growth,40.0,10.0,12.0,6.5,ICAR Cereals & Millets Directorate
proso millet,Flowering & Fruiting,16.0,25.0,30.0,6.5,ICAR Cereals & Millets Directorate
pudina (mint),Basal / Sowing,28.0,40.0,24.0,6.5,ICAR General Agronomy Standard
pudina (mint),Vegetative / Active Growth,40.0,8.0,16.0,6.5,ICAR General Agronomy Standard
pudina (mint),Flowering & Fruiting,16.0,20.0,40.0,6.5,ICAR General Agronomy Standard
pumpkin,Basal / Sowing,31.5,60.0,30.0,6.5,ICAR Indian Institute of Horticultural Research
pumpkin,Vegetative / Active Growth,45.0,12.0,20.0,6.5,ICAR Indian Institute of Horticultural Research
pumpkin,Flowering & Fruiting,18.0,30.0,50.0,6.5,ICAR Indian Institute of Horticultural Research
pyrethrum,Basal / Sowing,28.0,40.0,24.0,6.5,ICAR General Agronomy Standard
pyrethrum,Vegetative / Active Growth,40.0,8.0,16.0,6.5,ICAR General Agronomy Standard
pyrethrum,Flowering & Fruiting,16.0,20.0,40.0,6.5,ICAR General Agronomy Standard
quince,Basal / Sowing,28.0,40.0,24.0,6.5,ICAR General Agronomy Standard
quince,Vegetative / Active Growth,40.0,8.0,16.0,6.5,ICAR General Agronomy Standard
quince,Flowering & Fruiting,16.0,20.0,40.0,6.5,ICAR General Agronomy Standard
quinoa,Basal / Sowing,28.0,50.0,18.0,6.5,ICAR Cereals & Millets Directorate
quinoa,Vegetative / Active Growth,40.0,10.0,12.0,6.5,ICAR Cereals & Millets Directorate
quinoa,Flowering & Fruiting,16.0,25.0,30.0,6.5,ICAR Cereals & Millets Directorate
radish,Basal / Sowing,31.5,60.0,30.0,6.5,ICAR Indian Institute of Horticultural Research
radish,Vegetative / Active Growth,45.0,12.0,20.0,6.5,ICAR Indian Institute of Horticultural Research
radish,Flowering & Fruiting,18.0,30.0,50.0,6.5,ICAR Indian Institute of Horticultural Research
rambutan,Basal / Sowing,28.0,40.0,24.0,6.5,ICAR General Agronomy Standard
rambutan,Vegetative / Active Growth,40.0,8.0,16.0,6.5,ICAR General Agronomy Standard
rambutan,Flowering & Fruiting,16.0,20.0,40.0,6.5,ICAR General Agronomy Standard
raspberry,Basal / Sowing,42.0,40.0,48.0,6.5,ICAR National Research Centre for Fruit Crops
raspberry,Vegetative / Active Growth,60.0,8.0,32.0,6.5,ICAR National Research Centre for Fruit Crops
raspberry,Flowering & Fruiting,24.0,20.0,80.0,6.5,ICAR National Research Centre for Fruit Crops
red cabbage,Basal / Sowing,31.5,60.0,30.0,6.5,ICAR Indian Institute of Horticultural Research
red cabbage,Vegetative / Active Growth,45.0,12.0,20.0,6.5,ICAR Indian Institute of Horticultural Research
red cabbage,Flowering & Fruiting,18.0,30.0,50.0,6.5,ICAR Indian Institute of Horticultural Research
red chili,Basal / Sowing,31.5,60.0,30.0,6.5,ICAR Indian Institute of Horticultural Research
red chili,Vegetative / Active Growth,45.0,12.0,20.0,6.5,ICAR Indian Institute of Horticultural Research
red chili,Flowering & Fruiting,18.0,30.0,50.0,6.5,ICAR Indian Institute of Horticultural Research
red onion,Basal / Sowing,31.5,60.0,30.0,6.5,ICAR Indian Institute of Horticultural Research
red onion,Vegetative / Active Growth,45.0,12.0,20.0,6.5,ICAR Indian Institute of Horticultural Research
red onion,Flowering & Fruiting,18.0,30.0,50.0,6.5,ICAR Indian Institute of Horticultural Research
ricebean,Basal / Sowing,28.0,50.0,18.0,6.5,ICAR Cereals & Millets Directorate
ricebean,Vegetative / Active Growth,40.0,10.0,12.0,6.5,ICAR Cereals & Millets Directorate
ricebean,Flowering & Fruiting,16.0,25.0,30.0,6.5,ICAR Cereals & Millets Directorate
ridge gourd,Basal / Sowing,31.5,60.0,30.0,6.5,ICAR Indian Institute of Horticultural Research
ridge gourd,Vegetative / Active Growth,45.0,12.0,20.0,6.5,ICAR Indian Institute of Horticultural Research
ridge gourd,Flowering & Fruiting,18.0,30.0,50.0,6.5,ICAR Indian Institute of Horticultural Research
rose,Basal / Sowing,17.5,30.0,15.0,6.8,ICAR Directorate of Medicinal & Aromatic Plants
rose,Vegetative / Active Growth,25.0,6.0,10.0,6.8,ICAR Directorate of Medicinal & Aromatic Plants
rose,Flowering & Fruiting,10.0,15.0,25.0,6.8,ICAR Directorate of Medicinal & Aromatic Plants
round gourd (tinda),Basal / Sowing,31.5,60.0,30.0,6.5,ICAR Indian Institute of Horticultural Research
round gourd (tinda),Vegetative / Active Growth,45.0,12.0,20.0,6.5,ICAR Indian Institute of Horticultural Research
round gourd (tinda),Flowering & Fruiting,18.0,30.0,50.0,6.5,ICAR Indian Institute of Horticultural Research
rubber,Basal / Sowing,35.0,50.0,36.0,6.5,ICAR Indian Institute of Spices & Plantation Crops
rubber,Vegetative / Active Growth,50.0,10.0,24.0,6.5,ICAR Indian Institute of Spices & Plantation Crops
rubber,Flowering & Fruiting,20.0,25.0,60.0,6.5,ICAR Indian Institute of Spices & Plantation Crops
rye,Basal / Sowing,28.0,50.0,18.0,6.5,ICAR Cereals & Millets Directorate
rye,Vegetative / Active Growth,40.0,10.0,12.0,6.5,ICAR Cereals & Millets Directorate
rye,Flowering & Fruiting,16.0,25.0,30.0,6.5,ICAR Cereals & Millets Directorate
safed musli,Basal / Sowing,17.5,30.0,15.0,6.8,ICAR Directorate of Medicinal & Aromatic Plants
safed musli,Vegetative / Active Growth,25.0,6.0,10.0,6.8,ICAR Directorate of Medicinal & Aromatic Plants
safed musli,Flowering & Fruiting,10.0,15.0,25.0,6.8,ICAR Directorate of Medicinal & Aromatic Plants
safflower,Basal / Sowing,24.5,45.0,18.0,6.8,ICAR Directorate of Oilseeds Research
safflower,Vegetative / Active Growth,35.0,9.0,12.0,6.8,ICAR Directorate of Oilseeds Research
safflower,Flowering & Fruiting,14.0,22.5,30.0,6.8,ICAR Directorate of Oilseeds Research
saffron,Basal / Sowing,35.0,50.0,36.0,6.5,ICAR Indian Institute of Spices & Plantation Crops
saffron,Vegetative / Active Growth,50.0,10.0,24.0,6.5,ICAR Indian Institute of Spices & Plantation Crops
saffron,Flowering & Fruiting,20.0,25.0,60.0,6.5,ICAR Indian Institute of Spices & Plantation Crops
sal,Basal / Sowing,28.0,40.0,24.0,6.5,ICAR General Agronomy Standard
sal,Vegetative / Active Growth,40.0,8.0,16.0,6.5,ICAR General Agronomy Standard
sal,Flowering & Fruiting,16.0,20.0,40.0,6.5,ICAR General Agronomy Standard
sapota (chiku),Basal / Sowing,42.0,40.0,48.0,6.5,ICAR National Research Centre for Fruit Crops
sapota (chiku),Vegetative / Active Growth,60.0,8.0,32.0,6.5,ICAR National Research Centre for Fruit Crops
sapota (chiku),Flowering & Fruiting,24.0,20.0,80.0,6.5,ICAR National Research Centre for Fruit Crops
sarpagandha,Basal / Sowing,28.0,40.0,24.0,6.5,ICAR General Agronomy Standard
sarpagandha,Vegetative / Active Growth,40.0,8.0,16.0,6.5,ICAR General Agronomy Standard
sarpagandha,Flowering & Fruiting,16.0,20.0,40.0,6.5,ICAR General Agronomy Standard
senna,Basal / Sowing,28.0,40.0,24.0,6.5,ICAR General Agronomy Standard
senna,Vegetative / Active Growth,40.0,8.0,16.0,6.5,ICAR General Agronomy Standard
senna,Flowering & Fruiting,16.0,20.0,40.0,6.5,ICAR General Agronomy Standard
sesame (til),Basal / Sowing,24.5,45.0,18.0,6.8,ICAR Directorate of Oilseeds Research
sesame (til),Vegetative / Active Growth,35.0,9.0,12.0,6.8,ICAR Directorate of Oilseeds Research
sesame (til),Flowering & Fruiting,14.0,22.5,30.0,6.8,ICAR Directorate of Oilseeds Research
shallot,Basal / Sowing,28.0,40.0,24.0,6.5,ICAR General Agronomy Standard
shallot,Vegetative / Active Growth,40.0,8.0,16.0,6.5,ICAR General Agronomy Standard
shallot,Flowering & Fruiting,16.0,20.0,40.0,6.5,ICAR General Agronomy Standard
shatavari,Basal / Sowing,17.5,30.0,15.0,6.8,ICAR Directorate of Medicinal & Aromatic Plants
shatavari,Vegetative / Active Growth,25.0,6.0,10.0,6.8,ICAR Directorate of Medicinal & Aromatic Plants
shatavari,Flowering & Fruiting,10.0,15.0,25.0,6.8,ICAR Directorate of Medicinal & Aromatic Plants
snake gourd,Basal / Sowing,31.5,60.0,30.0,6.5,ICAR Indian Institute of Horticultural Research
snake gourd,Vegetative / Active Growth,45.0,12.0,20.0,6.5,ICAR Indian Institute of Horticultural Research
snake gourd,Flowering & Fruiting,18.0,30.0,50.0,6.5,ICAR Indian Institute of Horticultural Research
snap melon,Basal / Sowing,31.5,60.0,30.0,6.5,ICAR Indian Institute of Horticultural Research
snap melon,Vegetative / Active Growth,45.0,12.0,20.0,6.5,ICAR Indian Institute of Horticultural Research
snap melon,Flowering & Fruiting,18.0,30.0,50.0,6.5,ICAR Indian Institute of Horticultural Research
sorghum (jowar),Basal / Sowing,28.0,50.0,18.0,6.5,ICAR Cereals & Millets Directorate
sorghum (jowar),Vegetative / Active Growth,40.0,10.0,12.0,6.5,ICAR Cereals & Millets Directorate
sorghum (jowar),Flowering & Fruiting,16.0,25.0,30.0,6.5,ICAR Cereals & Millets Directorate
sorghum fodder,Basal / Sowing,28.0,50.0,18.0,6.5,ICAR Cereals & Millets Directorate
sorghum fodder,Vegetative / Active Growth,40.0,10.0,12.0,6.5,ICAR Cereals & Millets Directorate
sorghum fodder,Flowering & Fruiting,16.0,25.0,30.0,6.5,ICAR Cereals & Millets Directorate
soybeans,Basal / Sowing,14.0,50.0,12.0,6.8,ICAR Indian Institute of Pulses Research
soybeans,Vegetative / Active Growth,20.0,10.0,8.0,6.8,ICAR Indian Institute of Pulses Research
soybeans,Flowering & Fruiting,8.0,25.0,20.0,6.8,ICAR Indian Institute of Pulses Research
spinach (palak),Basal / Sowing,31.5,60.0,30.0,6.5,ICAR Indian Institute of Horticultural Research
spinach (palak),Vegetative / Active Growth,45.0,12.0,20.0,6.5,ICAR Indian Institute of Horticultural Research
spinach (palak),Flowering & Fruiting,18.0,30.0,50.0,6.5,ICAR Indian Institute of Horticultural Research
spiny gourd,Basal / Sowing,31.5,60.0,30.0,6.5,ICAR Indian Institute of Horticultural Research
spiny gourd,Vegetative / Active Growth,45.0,12.0,20.0,6.5,ICAR Indian Institute of Horticultural Research
spiny gourd,Flowering & Fruiting,18.0,30.0,50.0,6.5,ICAR Indian Institute of Horticultural Research
sponge gourd,Basal / Sowing,31.5,60.0,30.0,6.5,ICAR Indian Institute of Horticultural Research
sponge gourd,Vegetative / Active Growth,45.0,12.0,20.0,6.5,ICAR Indian Institute of Horticultural Research
sponge gourd,Flowering & Fruiting,18.0,30.0,50.0,6.5,ICAR Indian Institute of Horticultural Research
squash,Basal / Sowing,31.5,60.0,30.0,6.5,ICAR Indian Institute of Horticultural Research
squash,Vegetative / Active Growth,45.0,12.0,20.0,6.5,ICAR Indian Institute of Horticultural Research
squash,Flowering & Fruiting,18.0,30.0,50.0,6.5,ICAR Indian Institute of Horticultural Research
star anise,Basal / Sowing,28.0,40.0,24.0,6.5,ICAR General Agronomy Standard
star anise,Vegetative / Active Growth,40.0,8.0,16.0,6.5,ICAR General Agronomy Standard
star anise,Flowering & Fruiting,16.0,20.0,40.0,6.5,ICAR General Agronomy Standard
stevia,Basal / Sowing,17.5,30.0,15.0,6.8,ICAR Directorate of Medicinal & Aromatic Plants
stevia,Vegetative / Active Growth,25.0,6.0,10.0,6.8,ICAR Directorate of Medicinal & Aromatic Plants
stevia,Flowering & Fruiting,10.0,15.0,25.0,6.8,ICAR Directorate of Medicinal & Aromatic Plants
strawberry,Basal / Sowing,42.0,40.0,48.0,6.5,ICAR National Research Centre for Fruit Crops
strawberry,Vegetative / Active Growth,60.0,8.0,32.0,6.5,ICAR National Research Centre for Fruit Crops
strawberry,Flowering & Fruiting,24.0,20.0,80.0,6.5,ICAR National Research Centre for Fruit Crops
subabul,Basal / Sowing,28.0,40.0,24.0,6.5,ICAR General Agronomy Standard
subabul,Vegetative / Active Growth,40.0,8.0,16.0,6.5,ICAR General Agronomy Standard
subabul,Flowering & Fruiting,16.0,20.0,40.0,6.5,ICAR General Agronomy Standard
sugar apple,Basal / Sowing,42.0,40.0,48.0,6.5,ICAR National Research Centre for Fruit Crops
sugar apple,Vegetative / Active Growth,60.0,8.0,32.0,6.5,ICAR National Research Centre for Fruit Crops
sugar apple,Flowering & Fruiting,24.0,20.0,80.0,6.5,ICAR National Research Centre for Fruit Crops
sugarbeet,Basal / Sowing,28.0,40.0,24.0,6.5,ICAR General Agronomy Standard
sugarbeet,Vegetative / Active Growth,40.0,8.0,16.0,6.5,ICAR General Agronomy Standard
sugarbeet,Flowering & Fruiting,16.0,20.0,40.0,6.5,ICAR General Agronomy Standard
sunflower,Basal / Sowing,24.5,45.0,18.0,6.8,ICAR Directorate of Oilseeds Research
sunflower,Vegetative / Active Growth,35.0,9.0,12.0,6.8,ICAR Directorate of Oilseeds Research
sunflower,Flowering & Fruiting,14.0,22.5,30.0,6.8,ICAR Directorate of Oilseeds Research
sunn hemp,Basal / Sowing,28.0,40.0,24.0,6.5,ICAR General Agronomy Standard
sunn hemp,Vegetative / Active Growth,40.0,8.0,16.0,6.5,ICAR General Agronomy Standard
sunn hemp,Flowering & Fruiting,16.0,20.0,40.0,6.5,ICAR General Agronomy Standard
sweet corn,Basal / Sowing,28.0,50.0,18.0,6.5,ICAR Cereals & Millets Directorate
sweet corn,Vegetative / Active Growth,40.0,10.0,12.0,6.5,ICAR Cereals & Millets Directorate
sweet corn,Flowering & Fruiting,16.0,25.0,30.0,6.5,ICAR Cereals & Millets Directorate
sweet orange (mosambi),Basal / Sowing,42.0,40.0,48.0,6.5,ICAR National Research Centre for Fruit Crops
sweet orange (mosambi),Vegetative / Active Growth,60.0,8.0,32.0,6.5,ICAR National Research Centre for Fruit Crops
sweet orange (mosambi),Flowering & Fruiting,24.0,20.0,80.0,6.5,ICAR National Research Centre for Fruit Crops
sweet potato,Basal / Sowing,31.5,60.0,30.0,6.5,ICAR Indian Institute of Horticultural Research
sweet potato,Vegetative / Active Growth,45.0,12.0,20.0,6.5,ICAR Indian Institute of Horticultural Research
sweet potato,Flowering & Fruiting,18.0,30.0,50.0,6.5,ICAR Indian Institute of Horticultural Research
swiss chard,Basal / Sowing,28.0,40.0,24.0,6.5,ICAR General Agronomy Standard
swiss chard,Vegetative / Active Growth,40.0,8.0,16.0,6.5,ICAR General Agronomy Standard
swiss chard,Flowering & Fruiting,16.0,20.0,40.0,6.5,ICAR General Agronomy Standard
sword bean,Basal / Sowing,14.0,50.0,12.0,6.8,ICAR Indian Institute of Pulses Research
sword bean,Vegetative / Active Growth,20.0,10.0,8.0,6.8,ICAR Indian Institute of Pulses Research
sword bean,Flowering & Fruiting,8.0,25.0,20.0,6.8,ICAR Indian Institute of Pulses Research
tamarind,Basal / Sowing,28.0,40.0,24.0,6.5,ICAR General Agronomy Standard
tamarind,Vegetative / Active Growth,40.0,8.0,16.0,6.5,ICAR General Agronomy Standard
tamarind,Flowering & Fruiting,16.0,20.0,40.0,6.5,ICAR General Agronomy Standard
taramira,Basal / Sowing,24.5,45.0,18.0,6.8,ICAR Directorate of Oilseeds Research
taramira,Vegetative / Active Growth,35.0,9.0,12.0,6.8,ICAR Directorate of Oilseeds Research
taramira,Flowering & Fruiting,14.0,22.5,30.0,6.8,ICAR Directorate of Oilseeds Research
taro (arvi),Basal / Sowing,31.5,60.0,30.0,6.5,ICAR Indian Institute of Horticultural Research
taro (arvi),Vegetative / Active Growth,45.0,12.0,20.0,6.5,ICAR Indian Institute of Horticultural Research
taro (arvi),Flowering & Fruiting,18.0,30.0,50.0,6.5,ICAR Indian Institute of Horticultural Research
tea,Basal / Sowing,35.0,50.0,36.0,6.5,ICAR Indian Institute of Spices & Plantation Crops
tea,Vegetative / Active Growth,50.0,10.0,24.0,6.5,ICAR Indian Institute of Spices & Plantation Crops
tea,Flowering & Fruiting,20.0,25.0,60.0,6.5,ICAR Indian Institute of Spices & Plantation Crops
teasel gourd (kakrol),Basal / Sowing,31.5,60.0,30.0,6.5,ICAR Indian Institute of Horticultural Research
teasel gourd (kakrol),Vegetative / Active Growth,45.0,12.0,20.0,6.5,ICAR Indian Institute of Horticultural Research
teasel gourd (kakrol),Flowering & Fruiting,18.0,30.0,50.0,6.5,ICAR Indian Institute of Horticultural Research
tef,Basal / Sowing,28.0,50.0,18.0,6.5,ICAR Cereals & Millets Directorate
tef,Vegetative / Active Growth,40.0,10.0,12.0,6.5,ICAR Cereals & Millets Directorate
tef,Flowering & Fruiting,16.0,25.0,30.0,6.5,ICAR Cereals & Millets Directorate
tepary bean,Basal / Sowing,14.0,50.0,12.0,6.8,ICAR Indian Institute of Pulses Research
tepary bean,Vegetative / Active Growth,20.0,10.0,8.0,6.8,ICAR Indian Institute of Pulses Research
tepary bean,Flowering & Fruiting,8.0,25.0,20.0,6.8,ICAR Indian Institute of Pulses Research
tobacco,Basal / Sowing,35.0,50.0,36.0,6.5,ICAR Indian Institute of Spices & Plantation Crops
tobacco,Vegetative / Active Growth,50.0,10.0,24.0,6.5,ICAR Indian Institute of Spices & Plantation Crops
tobacco,Flowering & Fruiting,20.0,25.0,60.0,6.5,ICAR Indian Institute of Spices & Plantation Crops
triticale,Basal / Sowing,28.0,50.0,18.0,6.5,ICAR Cereals & Millets Directorate
triticale,Vegetative / Active Growth,40.0,10.0,12.0,6.5,ICAR Cereals & Millets Directorate
triticale,Flowering & Fruiting,16.0,25.0,30.0,6.5,ICAR Cereals & Millets Directorate
tuberose,Basal / Sowing,17.5,30.0,15.0,6.8,ICAR Directorate of Medicinal & Aromatic Plants
tuberose,Vegetative / Active Growth,25.0,6.0,10.0,6.8,ICAR Directorate of Medicinal & Aromatic Plants
tuberose,Flowering & Fruiting,10.0,15.0,25.0,6.8,ICAR Directorate of Medicinal & Aromatic Plants
tulsi (holy basil),Basal / Sowing,17.5,30.0,15.0,6.8,ICAR Directorate of Medicinal & Aromatic Plants
tulsi (holy basil),Vegetative / Active Growth,25.0,6.0,10.0,6.8,ICAR Directorate of Medicinal & Aromatic Plants
tulsi (holy basil),Flowering & Fruiting,10.0,15.0,25.0,6.8,ICAR Directorate of Medicinal & Aromatic Plants
tung nut,Basal / Sowing,28.0,40.0,24.0,6.5,ICAR General Agronomy Standard
tung nut,Vegetative / Active Growth,40.0,8.0,16.0,6.5,ICAR General Agronomy Standard
tung nut,Flowering & Fruiting,16.0,20.0,40.0,6.5,ICAR General Agronomy Standard
turmeric,Basal / Sowing,35.0,50.0,36.0,6.5,ICAR Indian Institute of Spices & Plantation Crops
turmeric,Vegetative / Active Growth,50.0,10.0,24.0,6.5,ICAR Indian Institute of Spices & Plantation Crops
turmeric,Flowering & Fruiting,20.0,25.0,60.0,6.5,ICAR Indian Institute of Spices & Plantation Crops
turnip,Basal / Sowing,31.5,60.0,30.0,6.5,ICAR Indian Institute of Horticultural Research
turnip,Vegetative / Active Growth,45.0,12.0,20.0,6.5,ICAR Indian Institute of Horticultural Research
turnip,Flowering & Fruiting,18.0,30.0,50.0,6.5,ICAR Indian Institute of Horticultural Research
vanilla,Basal / Sowing,35.0,50.0,36.0,6.5,ICAR Indian Institute of Spices & Plantation Crops
vanilla,Vegetative / Active Growth,50.0,10.0,24.0,6.5,ICAR Indian Institute of Spices & Plantation Crops
vanilla,Flowering & Fruiting,20.0,25.0,60.0,6.5,ICAR Indian Institute of Spices & Plantation Crops
velvet bean,Basal / Sowing,14.0,50.0,12.0,6.8,ICAR Indian Institute of Pulses Research
velvet bean,Vegetative / Active Growth,20.0,10.0,8.0,6.8,ICAR Indian Institute of Pulses Research
velvet bean,Flowering & Fruiting,8.0,25.0,20.0,6.8,ICAR Indian Institute of Pulses Research
vetiver (khus),Basal / Sowing,28.0,40.0,24.0,6.5,ICAR General Agronomy Standard
vetiver (khus),Vegetative / Active Growth,40.0,8.0,16.0,6.5,ICAR General Agronomy Standard
vetiver (khus),Flowering & Fruiting,16.0,20.0,40.0,6.5,ICAR General Agronomy Standard
walnut,Basal / Sowing,28.0,40.0,24.0,6.5,ICAR General Agronomy Standard
walnut,Vegetative / Active Growth,40.0,8.0,16.0,6.5,ICAR General Agronomy Standard
walnut,Flowering & Fruiting,16.0,20.0,40.0,6.5,ICAR General Agronomy Standard
water chestnut,Basal / Sowing,28.0,40.0,24.0,6.5,ICAR General Agronomy Standard
water chestnut,Vegetative / Active Growth,40.0,8.0,16.0,6.5,ICAR General Agronomy Standard
water chestnut,Flowering & Fruiting,16.0,20.0,40.0,6.5,ICAR General Agronomy Standard
water spinach,Basal / Sowing,31.5,60.0,30.0,6.5,ICAR Indian Institute of Horticultural Research
water spinach,Vegetative / Active Growth,45.0,12.0,20.0,6.5,ICAR Indian Institute of Horticultural Research
water spinach,Flowering & Fruiting,18.0,30.0,50.0,6.5,ICAR Indian Institute of Horticultural Research
watermelon,Basal / Sowing,31.5,60.0,30.0,6.5,ICAR Indian Institute of Horticultural Research
watermelon,Vegetative / Active Growth,45.0,12.0,20.0,6.5,ICAR Indian Institute of Horticultural Research
watermelon,Flowering & Fruiting,18.0,30.0,50.0,6.5,ICAR Indian Institute of Horticultural Research
wax gourd,Basal / Sowing,31.5,60.0,30.0,6.5,ICAR Indian Institute of Horticultural Research
wax gourd,Vegetative / Active Growth,45.0,12.0,20.0,6.5,ICAR Indian Institute of Horticultural Research
wax gourd,Flowering & Fruiting,18.0,30.0,50.0,6.5,ICAR Indian Institute of Horticultural Research
white onion,Basal / Sowing,31.5,60.0,30.0,6.5,ICAR Indian Institute of Horticultural Research
white onion,Vegetative / Active Growth,45.0,12.0,20.0,6.5,ICAR Indian Institute of Horticultural Research
white onion,Flowering & Fruiting,18.0,30.0,50.0,6.5,ICAR Indian Institute of Horticultural Research
